Person_ID,Activity_Type,Activity_Frequency,Activity_Rating,Has_Social_Circle
Frist_1 Last name_34,Volunteering,Daily,1,No
Frist_1 Last name_34,Social Media,Rarely,5,Yes
Frist_1 Last name_34,Traveling,Weekly,3,Yes
Frist_1 Last name_34,Outdoor Sports,Rarely,2,No
Frist_1 Last name_34,Movies,Weekly,5,Yes
Frist_1 Last name_34,Cooking,Monthly,3,Yes
Frist_2 Last name_227,Music,Weekly,1,Yes
Frist_2 Last name_227,Outdoor Sports,Weekly,4,No
Frist_2 Last name_227,Volunteering,Monthly,3,Yes
Frist_2 Last name_227,Movies,Monthly,1,No
Frist_2 Last name_227,Social Media,Monthly,3,No
Frist_2 Last name_227,Cooking,Daily,3,No
Frist_2 Last name_227,Traveling,Monthly,4,No
Frist_2 Last name_227,Reading,Monthly,3,Yes
Frist_2 Last name_263,Traveling,Rarely,2,No
Frist_2 Last name_263,Social Media,Rarely,5,No
Frist_2 Last name_263,Cooking,Weekly,1,Yes
Frist_2 Last name_263,Music,Weekly,1,Yes
Frist_2 Last name_263,Reading,Monthly,5,Yes
Frist_2 Last name_263,Volunteering,Rarely,3,No
Frist_2 Last name_263,Outdoor Sports,Daily,4,Yes
Frist_1 Last name_70,Social Media,Daily,1,No
Frist_1 Last name_70,Movies,Weekly,5,No
Frist_1 Last name_70,Volunteering,Monthly,2,No
Frist_1 Last name_70,Outdoor Sports,Weekly,4,No
Frist_1 Last name_70,Reading,Weekly,3,No
Frist_1 Last name_213,Reading,Daily,4,Yes
Frist_1 Last name_213,Social Media,Monthly,3,Yes
Frist_1 Last name_213,Movies,Monthly,1,No
Frist_1 Last name_213,Traveling,Daily,2,No
Frist_1 Last name_213,Cooking,Monthly,5,No
Frist_1 Last name_213,Music,Monthly,3,Yes
Frist_1 Last name_213,Volunteering,Rarely,3,No
Frist_1 Last name_213,Outdoor Sports,Rarely,2,No
Frist_1 Last name_169,Cooking,Weekly,1,Yes
Frist_1 Last name_169,Volunteering,Monthly,3,Yes
Frist_1 Last name_61,Outdoor Sports,Weekly,3,No
Frist_1 Last name_205,Outdoor Sports,Rarely,3,Yes
Frist_1 Last name_205,Music,Weekly,4,No
Frist_1 Last name_205,Reading,Rarely,4,Yes
Frist_1 Last name_249,Volunteering,Rarely,5,Yes
Frist_1 Last name_249,Outdoor Sports,Rarely,4,Yes
Frist_1 Last name_249,Music,Monthly,5,Yes
Frist_1 Last name_249,Social Media,Weekly,5,No
Frist_1 Last name_249,Traveling,Rarely,3,No
Frist_1 Last name_249,Reading,Monthly,3,No
Frist_1 Last name_249,Cooking,Monthly,1,No
Frist_1 Last name_249,Movies,Weekly,4,No
Frist_1 Last name_177,Reading,Weekly,5,Yes
Frist_1 Last name_177,Music,Weekly,2,No
Frist_1 Last name_177,Volunteering,Daily,3,Yes
Frist_1 Last name_105,Reading,Rarely,2,No
Frist_1 Last name_105,Music,Rarely,1,No
Frist_1 Last name_105,Cooking,Daily,3,No
Frist_1 Last name_241,Movies,Rarely,5,No
Frist_1 Last name_241,Music,Monthly,3,Yes
Frist_1 Last name_241,Cooking,Weekly,4,Yes
Frist_1 Last name_241,Volunteering,Monthly,1,Yes
Frist_1 Last name_241,Reading,Monthly,2,Yes
Frist_2 Last name_75,Volunteering,Monthly,2,No
Frist_2 Last name_75,Music,Daily,3,Yes
Frist_2 Last name_75,Traveling,Monthly,3,Yes
Frist_2 Last name_75,Reading,Monthly,1,No
Frist_2 Last name_255,Movies,Daily,3,Yes
Frist_2 Last name_255,Reading,Daily,2,No
Frist_2 Last name_255,Cooking,Daily,4,No
Frist_2 Last name_255,Social Media,Weekly,5,Yes
Frist_2 Last name_255,Outdoor Sports,Monthly,1,No
Frist_2 Last name_39,Music,Weekly,3,No
Frist_2 Last name_39,Social Media,Weekly,5,Yes
Frist_2 Last name_39,Traveling,Daily,4,No
Frist_2 Last name_39,Reading,Weekly,3,No
Frist_2 Last name_39,Movies,Monthly,1,Yes
Frist_2 Last name_39,Cooking,Daily,3,Yes
Frist_2 Last name_39,Volunteering,Rarely,5,Yes
Frist_2 Last name_39,Outdoor Sports,Monthly,1,Yes
Frist_2 Last name_66,Reading,Rarely,2,Yes
Frist_2 Last name_66,Cooking,Weekly,1,No
Frist_2 Last name_66,Volunteering,Monthly,5,No
Frist_2 Last name_66,Traveling,Daily,1,No
Frist_2 Last name_66,Movies,Monthly,4,No
Frist_2 Last name_174,Volunteering,Monthly,2,No
Frist_1 Last name_114,Traveling,Daily,5,Yes
Frist_2 Last name_219,Outdoor Sports,Monthly,2,No
Frist_2 Last name_219,Music,Rarely,1,No
Frist_2 Last name_219,Volunteering,Weekly,4,Yes
Frist_2 Last name_219,Cooking,Weekly,1,No
Frist_2 Last name_219,Reading,Daily,5,No
Frist_2 Last name_219,Traveling,Monthly,3,Yes
Frist_2 Last name_219,Social Media,Monthly,3,Yes
Frist_2 Last name_219,Movies,Monthly,2,Yes
Frist_2 Last name_47,Reading,Daily,4,No
Frist_2 Last name_47,Traveling,Rarely,2,No
Frist_2 Last name_47,Social Media,Weekly,4,No
Frist_2 Last name_183,Movies,Monthly,1,No
Frist_2 Last name_183,Traveling,Daily,4,Yes
Frist_2 Last name_183,Volunteering,Rarely,5,No
Frist_2 Last name_183,Cooking,Weekly,4,Yes
Frist_2 Last name_183,Music,Monthly,4,Yes
Frist_2 Last name_183,Outdoor Sports,Daily,2,No
Frist_2 Last name_183,Reading,Daily,2,No
Frist_1 Last name_277,Music,Monthly,2,Yes
Frist_1 Last name_277,Volunteering,Weekly,5,No
Frist_2 Last name_11,Reading,Monthly,4,No
Frist_2 Last name_119,Reading,Daily,2,Yes
Frist_2 Last name_83,Social Media,Daily,3,Yes
Frist_2 Last name_83,Music,Daily,4,Yes
Frist_2 Last name_83,Reading,Monthly,4,Yes
Frist_2 Last name_146,Volunteering,Weekly,5,No
Frist_2 Last name_146,Social Media,Monthly,5,No
Frist_2 Last name_146,Music,Daily,2,No
Frist_2 Last name_146,Movies,Weekly,2,Yes
Frist_2 Last name_146,Outdoor Sports,Rarely,1,No
Frist_2 Last name_146,Reading,Daily,1,Yes
Frist_2 Last name_290,Cooking,Daily,1,Yes
Frist_2 Last name_290,Social Media,Monthly,1,Yes
Frist_2 Last name_290,Reading,Daily,2,No
Frist_2 Last name_290,Volunteering,Daily,1,No
Frist_2 Last name_290,Movies,Weekly,1,No
Frist_2 Last name_254,Reading,Daily,1,Yes
Frist_2 Last name_254,Outdoor Sports,Weekly,1,Yes
Frist_2 Last name_254,Cooking,Monthly,5,Yes
Frist_2 Last name_254,Social Media,Weekly,5,Yes
Frist_2 Last name_254,Music,Monthly,4,Yes
Frist_2 Last name_254,Movies,Daily,3,No
Frist_2 Last name_254,Volunteering,Weekly,3,No
Frist_2 Last name_254,Traveling,Rarely,2,Yes
Frist_2 Last name_218,Traveling,Rarely,2,No
Frist_2 Last name_218,Movies,Monthly,4,Yes
Frist_2 Last name_218,Music,Monthly,4,No
Frist_2 Last name_218,Volunteering,Weekly,4,Yes
Frist_2 Last name_218,Social Media,Monthly,2,Yes
Frist_2 Last name_218,Reading,Rarely,4,No
Frist_2 Last name_182,Reading,Weekly,3,Yes
Frist_2 Last name_182,Outdoor Sports,Monthly,3,No
Frist_1 Last name_78,Movies,Daily,5,No
Frist_1 Last name_78,Music,Weekly,3,No
Frist_1 Last name_78,Social Media,Weekly,3,Yes
Frist_1 Last name_78,Volunteering,Daily,4,No
Frist_2 Last name_74,Outdoor Sports,Monthly,2,Yes
Frist_2 Last name_74,Movies,Monthly,3,Yes
Frist_2 Last name_74,Traveling,Rarely,5,Yes
Frist_2 Last name_74,Social Media,Daily,4,Yes
Frist_2 Last name_74,Music,Monthly,3,Yes
Frist_2 Last name_74,Volunteering,Monthly,2,Yes
Frist_2 Last name_74,Reading,Weekly,2,No
Frist_2 Last name_74,Cooking,Daily,3,No
Frist_2 Last name_110,Reading,Rarely,1,No
Frist_2 Last name_110,Social Media,Weekly,2,Yes
Frist_2 Last name_110,Traveling,Rarely,5,No
Frist_2 Last name_110,Movies,Monthly,1,Yes
Frist_2 Last name_110,Outdoor Sports,Weekly,1,Yes
Frist_2 Last name_110,Cooking,Rarely,4,Yes
Frist_2 Last name_110,Music,Daily,5,No
Frist_2 Last name_38,Reading,Monthly,3,Yes
Frist_2 Last name_38,Traveling,Weekly,4,Yes
Frist_2 Last name_38,Social Media,Rarely,5,Yes
Frist_2 Last name_38,Movies,Rarely,4,Yes
Frist_2 Last name_30,Cooking,Rarely,5,Yes
Frist_2 Last name_30,Social Media,Weekly,4,No
Frist_2 Last name_30,Outdoor Sports,Rarely,1,Yes
Frist_2 Last name_30,Traveling,Rarely,2,Yes
Frist_2 Last name_30,Volunteering,Rarely,5,Yes
Frist_2 Last name_30,Reading,Monthly,1,Yes
Frist_2 Last name_30,Movies,Rarely,4,No
Frist_1 Last name_178,Outdoor Sports,Weekly,4,Yes
Frist_1 Last name_178,Traveling,Rarely,1,No
Frist_1 Last name_178,Social Media,Rarely,1,No
Frist_1 Last name_106,Music,Monthly,2,No
Frist_1 Last name_106,Movies,Weekly,2,Yes
Frist_1 Last name_106,Cooking,Weekly,1,Yes
Frist_1 Last name_106,Social Media,Monthly,5,No
Frist_1 Last name_106,Traveling,Rarely,5,Yes
Frist_1 Last name_150,Traveling,Monthly,1,Yes
Frist_1 Last name_222,Traveling,Weekly,4,No
Frist_1 Last name_258,Movies,Rarely,5,Yes
Frist_1 Last name_258,Music,Monthly,4,No
Frist_1 Last name_258,Outdoor Sports,Weekly,2,No
Frist_1 Last name_258,Cooking,Monthly,3,Yes
Frist_1 Last name_6,Outdoor Sports,Daily,3,No
Frist_1 Last name_186,Traveling,Weekly,3,No
Frist_1 Last name_186,Movies,Weekly,2,No
Frist_1 Last name_186,Outdoor Sports,Rarely,1,No
Frist_2 Last name_191,Social Media,Weekly,2,No
Frist_2 Last name_155,Movies,Daily,4,No
Frist_1 Last name_250,Traveling,Daily,1,No
Frist_1 Last name_250,Music,Monthly,5,No
Frist_1 Last name_250,Volunteering,Rarely,5,Yes
Frist_1 Last name_250,Social Media,Weekly,5,No
Frist_1 Last name_250,Outdoor Sports,Daily,3,Yes
Frist_1 Last name_214,Reading,Weekly,2,Yes
Frist_1 Last name_214,Outdoor Sports,Weekly,4,Yes
Frist_1 Last name_214,Cooking,Daily,5,No
Frist_1 Last name_145,Cooking,Weekly,2,No
Frist_1 Last name_145,Movies,Weekly,2,No
Frist_1 Last name_145,Social Media,Rarely,5,No
Frist_1 Last name_145,Volunteering,Monthly,5,No
Frist_1 Last name_134,Outdoor Sports,Weekly,3,No
Frist_1 Last name_134,Reading,Rarely,1,No
Frist_1 Last name_134,Social Media,Weekly,1,Yes
Frist_1 Last name_134,Movies,Rarely,1,No
Frist_1 Last name_134,Music,Rarely,3,No
Frist_1 Last name_181,Reading,Rarely,4,Yes
Frist_1 Last name_233,Social Media,Daily,5,No
Frist_1 Last name_233,Cooking,Daily,3,No
Frist_1 Last name_233,Reading,Weekly,3,No
Frist_1 Last name_233,Movies,Daily,3,No
Frist_1 Last name_233,Outdoor Sports,Monthly,4,No
Frist_1 Last name_233,Music,Daily,5,No
Frist_1 Last name_89,Movies,Monthly,5,Yes
Frist_1 Last name_89,Social Media,Monthly,1,No
Frist_1 Last name_89,Volunteering,Monthly,2,Yes
Frist_1 Last name_89,Outdoor Sports,Rarely,5,No
Frist_1 Last name_89,Traveling,Rarely,3,No
Frist_1 Last name_217,Movies,Rarely,4,Yes
Frist_1 Last name_217,Cooking,Weekly,4,No
Frist_1 Last name_262,Traveling,Rarely,5,Yes
Frist_1 Last name_262,Volunteering,Weekly,2,No
Frist_1 Last name_262,Cooking,Weekly,4,No
Frist_1 Last name_262,Outdoor Sports,Rarely,3,No
Frist_1 Last name_262,Movies,Daily,3,Yes
Frist_1 Last name_262,Social Media,Weekly,1,No
Frist_1 Last name_262,Music,Rarely,2,No
Frist_1 Last name_190,Music,Rarely,3,No
Frist_1 Last name_190,Cooking,Rarely,3,Yes
Frist_1 Last name_190,Volunteering,Rarely,2,No
Frist_1 Last name_190,Outdoor Sports,Daily,3,No
Frist_1 Last name_190,Social Media,Weekly,3,Yes
Frist_2 Last name_123,Volunteering,Monthly,3,No
Frist_2 Last name_123,Traveling,Weekly,4,No
Frist_2 Last name_123,Cooking,Daily,2,No
Frist_2 Last name_123,Outdoor Sports,Rarely,5,No
Frist_2 Last name_123,Music,Rarely,2,Yes
Frist_2 Last name_123,Reading,Rarely,1,Yes
Frist_2 Last name_123,Social Media,Rarely,5,Yes
Frist_2 Last name_123,Movies,Monthly,1,No
Frist_2 Last name_103,Traveling,Monthly,3,No
Frist_2 Last name_103,Cooking,Weekly,3,No
Frist_2 Last name_103,Social Media,Rarely,4,No
Frist_2 Last name_130,Outdoor Sports,Monthly,4,No
Frist_2 Last name_130,Volunteering,Rarely,4,Yes
Frist_2 Last name_130,Movies,Weekly,4,No
Frist_2 Last name_130,Social Media,Daily,3,No
Frist_2 Last name_130,Traveling,Weekly,5,Yes
Frist_2 Last name_58,Cooking,Daily,2,No
Frist_2 Last name_58,Outdoor Sports,Weekly,2,Yes
Frist_2 Last name_58,Volunteering,Weekly,1,Yes
Frist_2 Last name_58,Reading,Weekly,4,Yes
Frist_2 Last name_58,Social Media,Rarely,1,Yes
Frist_2 Last name_202,Volunteering,Daily,5,No
Frist_2 Last name_202,Music,Rarely,5,No
Frist_2 Last name_202,Movies,Weekly,5,No
Frist_2 Last name_202,Cooking,Weekly,5,No
Frist_2 Last name_202,Reading,Weekly,3,No
Frist_2 Last name_202,Social Media,Weekly,5,Yes
Frist_2 Last name_166,Volunteering,Weekly,5,Yes
Frist_2 Last name_166,Reading,Rarely,2,No
Frist_2 Last name_166,Music,Weekly,5,No
Frist_2 Last name_78,Cooking,Weekly,5,Yes
Frist_1 Last name_125,Traveling,Rarely,3,No
Frist_1 Last name_125,Outdoor Sports,Weekly,4,Yes
Frist_1 Last name_125,Movies,Weekly,4,Yes
Frist_1 Last name_125,Volunteering,Rarely,3,Yes
Frist_1 Last name_125,Cooking,Rarely,4,No
Frist_1 Last name_125,Music,Monthly,5,No
Frist_1 Last name_125,Reading,Rarely,5,No
Frist_2 Last name_94,Traveling,Weekly,1,Yes
Frist_2 Last name_94,Outdoor Sports,Monthly,3,Yes
Frist_2 Last name_94,Music,Rarely,4,Yes
Frist_1 Last name_197,Outdoor Sports,Daily,1,Yes
Frist_1 Last name_197,Movies,Rarely,1,Yes
Frist_1 Last name_197,Music,Weekly,3,No
Frist_1 Last name_197,Reading,Daily,5,Yes
Frist_1 Last name_197,Social Media,Weekly,3,Yes
Frist_2 Last name_67,Cooking,Rarely,2,Yes
Frist_1 Last name_226,Traveling,Daily,5,No
Frist_1 Last name_226,Movies,Monthly,2,No
Frist_1 Last name_154,Reading,Rarely,5,No
Frist_1 Last name_154,Music,Weekly,1,Yes
Frist_1 Last name_154,Movies,Weekly,5,No
Frist_1 Last name_154,Social Media,Monthly,4,Yes
Frist_1 Last name_289,Cooking,Daily,2,Yes
Frist_1 Last name_73,Volunteering,Monthly,3,No
Frist_1 Last name_73,Social Media,Weekly,5,Yes
Frist_1 Last name_73,Music,Daily,3,Yes
Frist_1 Last name_73,Cooking,Rarely,4,No
Frist_1 Last name_73,Traveling,Monthly,2,No
Frist_1 Last name_73,Outdoor Sports,Weekly,3,Yes
Frist_1 Last name_73,Reading,Rarely,3,No
Frist_1 Last name_73,Movies,Daily,2,Yes
Frist_1 Last name_37,Traveling,Monthly,2,No
Frist_1 Last name_37,Music,Daily,3,No
Frist_1 Last name_37,Volunteering,Daily,2,No
Frist_1 Last name_37,Outdoor Sports,Daily,3,Yes
Frist_1 Last name_269,Volunteering,Rarely,1,No
Frist_1 Last name_269,Social Media,Rarely,3,Yes
Frist_1 Last name_269,Outdoor Sports,Daily,4,No
Frist_1 Last name_269,Movies,Weekly,2,Yes
Frist_1 Last name_269,Cooking,Weekly,1,Yes
Frist_1 Last name_109,Reading,Weekly,3,Yes
Frist_1 Last name_161,Cooking,Rarely,5,No
Frist_1 Last name_161,Movies,Weekly,1,No
Frist_1 Last name_161,Volunteering,Daily,2,Yes
Frist_1 Last name_161,Outdoor Sports,Monthly,1,No
Frist_1 Last name_161,Music,Monthly,5,No
Frist_1 Last name_161,Traveling,Rarely,1,Yes
Frist_1 Last name_161,Reading,Weekly,1,No
Frist_1 Last name_253,Reading,Monthly,4,Yes
Frist_1 Last name_253,Movies,Daily,1,No
Frist_1 Last name_253,Music,Weekly,2,No
Frist_1 Last name_253,Traveling,Rarely,1,Yes
Frist_1 Last name_253,Cooking,Rarely,5,Yes
Frist_1 Last name_118,Music,Rarely,2,No
Frist_1 Last name_118,Volunteering,Monthly,3,Yes
Frist_1 Last name_118,Reading,Daily,5,No
Frist_1 Last name_118,Traveling,Monthly,2,No
Frist_1 Last name_118,Outdoor Sports,Rarely,4,Yes
Frist_1 Last name_118,Movies,Daily,4,No
Frist_1 Last name_118,Social Media,Monthly,4,No
Frist_1 Last name_118,Cooking,Rarely,5,Yes
Frist_1 Last name_53,Volunteering,Daily,4,No
Frist_1 Last name_53,Traveling,Rarely,5,Yes
Frist_1 Last name_53,Social Media,Daily,2,Yes
Frist_1 Last name_53,Reading,Weekly,4,No
Frist_1 Last name_53,Outdoor Sports,Rarely,1,No
Frist_1 Last name_53,Movies,Monthly,2,No
Frist_1 Last name_53,Music,Rarely,5,Yes
Frist_1 Last name_53,Cooking,Monthly,5,Yes
Frist_1 Last name_17,Movies,Weekly,5,Yes
Frist_1 Last name_17,Music,Weekly,5,Yes
Frist_1 Last name_17,Reading,Daily,5,No
Frist_1 Last name_17,Traveling,Weekly,2,No
Frist_1 Last name_17,Outdoor Sports,Daily,5,No
Frist_1 Last name_17,Volunteering,Weekly,4,No
Frist_1 Last name_17,Social Media,Weekly,1,Yes
Frist_2 Last name_238,Cooking,Daily,5,Yes
Frist_2 Last name_238,Traveling,Rarely,1,Yes
Frist_2 Last name_238,Reading,Weekly,3,Yes
Frist_2 Last name_238,Outdoor Sports,Weekly,2,No
Frist_2 Last name_238,Social Media,Monthly,4,Yes
Frist_2 Last name_238,Volunteering,Monthly,5,No
Frist_2 Last name_159,Traveling,Weekly,2,No
Frist_2 Last name_159,Cooking,Daily,5,No
Frist_2 Last name_159,Music,Rarely,1,Yes
Frist_2 Last name_159,Volunteering,Monthly,1,No
Frist_2 Last name_6,Music,Monthly,4,Yes
Frist_2 Last name_6,Reading,Daily,5,No
Frist_2 Last name_6,Cooking,Daily,5,No
Frist_2 Last name_6,Social Media,Rarely,2,No
Frist_2 Last name_6,Outdoor Sports,Rarely,1,Yes
Frist_2 Last name_6,Volunteering,Weekly,1,Yes
Frist_2 Last name_6,Movies,Weekly,4,No
Frist_2 Last name_222,Movies,Daily,2,Yes
Frist_2 Last name_222,Traveling,Rarely,4,No
Frist_2 Last name_222,Outdoor Sports,Weekly,3,No
Frist_2 Last name_231,Movies,Weekly,2,No
Frist_2 Last name_231,Volunteering,Daily,2,No
Frist_2 Last name_231,Outdoor Sports,Rarely,2,No
Frist_2 Last name_195,Music,Rarely,2,No
Frist_2 Last name_195,Traveling,Weekly,5,No
Frist_2 Last name_195,Reading,Weekly,5,Yes
Frist_2 Last name_195,Cooking,Rarely,1,Yes
Frist_2 Last name_195,Outdoor Sports,Weekly,1,Yes
Frist_1 Last name_206,Cooking,Rarely,2,No
Frist_1 Last name_206,Movies,Weekly,3,No
Frist_1 Last name_206,Volunteering,Daily,3,No
Frist_1 Last name_206,Outdoor Sports,Rarely,2,No
Frist_1 Last name_206,Social Media,Rarely,4,No
Frist_1 Last name_206,Reading,Rarely,5,Yes
Frist_1 Last name_206,Music,Monthly,4,Yes
Frist_1 Last name_206,Traveling,Daily,5,Yes
Frist_1 Last name_242,Music,Daily,5,Yes
Frist_1 Last name_278,Outdoor Sports,Rarely,1,No
Frist_1 Last name_278,Movies,Monthly,4,Yes
Frist_1 Last name_26,Music,Weekly,1,Yes
Frist_1 Last name_26,Cooking,Daily,3,No
Frist_1 Last name_26,Movies,Monthly,1,No
Frist_1 Last name_26,Traveling,Monthly,5,No
Frist_1 Last name_26,Outdoor Sports,Monthly,2,Yes
Frist_1 Last name_26,Volunteering,Rarely,1,No
Frist_1 Last name_26,Reading,Rarely,1,No
Frist_1 Last name_82,Music,Monthly,1,Yes
Frist_1 Last name_82,Cooking,Weekly,2,No
Frist_1 Last name_82,Volunteering,Daily,2,Yes
Frist_1 Last name_82,Traveling,Daily,4,No
Frist_1 Last name_82,Outdoor Sports,Daily,4,No
Frist_1 Last name_82,Social Media,Daily,3,No
Frist_1 Last name_46,Traveling,Daily,3,Yes
Frist_1 Last name_46,Outdoor Sports,Rarely,5,Yes
Frist_1 Last name_46,Cooking,Rarely,2,Yes
Frist_1 Last name_10,Outdoor Sports,Rarely,3,No
Frist_1 Last name_10,Cooking,Weekly,2,Yes
Frist_1 Last name_10,Reading,Daily,4,Yes
Frist_1 Last name_10,Music,Daily,1,No
Frist_2 Last name_258,Cooking,Daily,5,Yes
Frist_2 Last name_258,Traveling,Monthly,5,No
Frist_2 Last name_258,Music,Weekly,4,Yes
Frist_2 Last name_258,Social Media,Rarely,3,Yes
Frist_2 Last name_258,Reading,Weekly,3,No
Frist_2 Last name_258,Outdoor Sports,Daily,5,No
Frist_2 Last name_258,Movies,Daily,1,No
Frist_1 Last name_170,Social Media,Monthly,2,Yes
Frist_1 Last name_170,Outdoor Sports,Weekly,2,No
Frist_1 Last name_170,Reading,Monthly,4,No
Frist_1 Last name_170,Music,Monthly,1,Yes
Frist_1 Last name_170,Volunteering,Weekly,5,Yes
Frist_1 Last name_170,Movies,Daily,3,Yes
Frist_2 Last name_175,Movies,Monthly,4,Yes
Frist_2 Last name_274,Outdoor Sports,Monthly,4,No
Frist_2 Last name_274,Music,Weekly,3,Yes
Frist_2 Last name_274,Movies,Weekly,3,No
Frist_2 Last name_274,Volunteering,Daily,2,Yes
Frist_2 Last name_274,Traveling,Monthly,3,Yes
Frist_1 Last name_98,Traveling,Daily,2,Yes
Frist_1 Last name_62,Movies,Rarely,2,Yes
Frist_1 Last name_62,Music,Weekly,2,No
Frist_1 Last name_62,Cooking,Monthly,4,No
Frist_1 Last name_62,Outdoor Sports,Monthly,5,No
Frist_1 Last name_62,Volunteering,Daily,4,No
Frist_2 Last name_139,Traveling,Weekly,5,Yes
Frist_2 Last name_139,Cooking,Daily,1,Yes
Frist_2 Last name_31,Volunteering,Daily,5,No
Frist_2 Last name_31,Reading,Rarely,5,Yes
Frist_2 Last name_31,Outdoor Sports,Monthly,3,No
Frist_2 Last name_31,Social Media,Daily,3,No
Frist_2 Last name_31,Music,Daily,2,Yes
Frist_2 Last name_42,Social Media,Daily,1,No
Frist_2 Last name_42,Volunteering,Monthly,4,No
Frist_2 Last name_42,Outdoor Sports,Rarely,2,No
Frist_2 Last name_42,Cooking,Rarely,5,No
Frist_2 Last name_42,Music,Rarely,1,Yes
Frist_2 Last name_211,Traveling,Weekly,3,No
Frist_2 Last name_211,Social Media,Monthly,4,No
Frist_2 Last name_211,Reading,Daily,5,No
Frist_2 Last name_211,Cooking,Rarely,3,No
Frist_2 Last name_247,Outdoor Sports,Monthly,3,No
Frist_2 Last name_247,Music,Rarely,1,Yes
Frist_2 Last name_247,Traveling,Weekly,3,Yes
Frist_2 Last name_247,Volunteering,Daily,5,No
Frist_2 Last name_247,Social Media,Rarely,1,Yes
Frist_2 Last name_247,Reading,Weekly,3,No
Frist_2 Last name_150,Movies,Monthly,4,Yes
Frist_2 Last name_150,Cooking,Monthly,5,Yes
Frist_2 Last name_150,Traveling,Monthly,1,No
Frist_2 Last name_150,Reading,Monthly,3,Yes
Frist_2 Last name_150,Music,Weekly,4,No
Frist_2 Last name_186,Music,Rarely,3,No
Frist_2 Last name_186,Cooking,Rarely,1,No
Frist_2 Last name_186,Social Media,Weekly,4,Yes
Frist_2 Last name_267,Volunteering,Weekly,5,No
Frist_2 Last name_267,Traveling,Rarely,5,No
Frist_2 Last name_267,Reading,Daily,2,Yes
Frist_2 Last name_267,Music,Daily,3,No
Frist_2 Last name_267,Movies,Rarely,1,Yes
Frist_2 Last name_267,Outdoor Sports,Rarely,1,No
Frist_2 Last name_51,Social Media,Daily,2,Yes
Frist_2 Last name_51,Traveling,Daily,1,No
Frist_2 Last name_51,Outdoor Sports,Monthly,3,No
Frist_2 Last name_51,Volunteering,Weekly,3,No
